Theta   Phi   Ki
28.00   200.00   0.0134141000
28.00   203.00   0.0097280400
28.00   206.00   0.0154985000
28.00   209.00   0.0115976000
28.00   212.00   0.0168337000
28.00   215.00   0.0167521000
28.00   218.00   0.0179821000
28.00   221.00   0.0086029800
28.00   224.00   -0.0042779700
28.00   227.00   -0.0188902000
28.00   230.00   -0.0255376000
28.00   233.00   -0.0310442000
28.00   236.00   -0.0351898000
28.00   239.00   -0.0331115000
28.00   242.00   -0.0291120000
28.00   245.00   -0.0346155000
28.00   248.00   -0.0299018000
28.00   251.00   -0.0165873000
28.00   254.00   -0.0054361300
28.00   257.00   0.0015264500
28.00   260.00   0.0128152000
28.00   263.00   0.0192545000
28.00   266.00   0.0213428000
28.00   269.00   0.0218940000
28.00   272.00   0.0323508000
28.00   275.00   0.0324865000
28.00   278.00   0.0289305000
28.00   281.00   0.0232290000
28.00   284.00   0.0101474000
31.00   47.00   0.0414311000
31.00   50.00   0.0341589000
31.00   53.00   0.0256177000
31.00   56.00   0.0071556800
31.00   59.00   -0.0010018100
31.00   62.00   -0.0062803100
31.00   65.00   -0.0168665000
31.00   68.00   -0.0176842000
31.00   71.00   -0.0144833000
31.00   74.00   -0.0116917000
31.00   77.00   -0.0129875000
31.00   80.00   -0.0022603800
31.00   83.00   -0.0002134430
31.00   86.00   0.0093552500
31.00   89.00   0.0112982000
31.00   92.00   0.0141048000
31.00   95.00   0.0044307900
31.00   98.00   0.0018494300
31.00   101.00   -0.0064175500
31.00   104.00   -0.0138267000
31.00   107.00   -0.0148446000
31.00   110.00   -0.0180810000
31.00   113.00   -0.0307869000
31.00   116.00   -0.0323014000
31.00   119.00   -0.0306035000
31.00   122.00   -0.0324812000
31.00   125.00   -0.0324187000
31.00   128.00   -0.0214827000
31.00   131.00   -0.0182090000
31.00   134.00   -0.0166296000
31.00   137.00   -0.0022040400
31.00   140.00   0.0035410200
31.00   143.00   0.0113847000
31.00   146.00   0.0225829000
31.00   149.00   0.0162846000
31.00   152.00   0.0248574000
31.00   155.00   0.0352191000
31.00   158.00   0.0275217000
31.00   161.00   0.0299550000
31.00   164.00   0.0302413000
31.00   167.00   0.0414309000
31.00   170.00   0.0341589000
31.00   173.00   0.0256177000
31.00   176.00   0.0071557400
31.00   179.00   -0.0010019100
31.00   182.00   -0.0062804100
31.00   185.00   -0.0168664000
31.00   188.00   -0.0176842000
31.00   191.00   -0.0144833000
31.00   194.00   -0.0116915000
31.00   197.00   -0.0129876000
31.00   200.00   -0.0022605400
31.00   203.00   -0.0002133370
31.00   206.00   0.0093552700
31.00   209.00   0.0112982000
31.00   212.00   0.0141048000
31.00   215.00   0.0044310000
31.00   218.00   0.0018495600
31.00   221.00   -0.0064174400
31.00   224.00   -0.0138266000
31.00   227.00   -0.0148445000
31.00   230.00   -0.0180809000
31.00   233.00   -0.0307868000
31.00   236.00   -0.0323014000
31.00   239.00   -0.0306035000
31.00   242.00   -0.0324812000
31.00   245.00   -0.0324189000
31.00   248.00   -0.0214824000
31.00   251.00   -0.0182088000
31.00   254.00   -0.0166297000
31.00   257.00   -0.0022041400
31.00   260.00   0.0035405900
31.00   263.00   0.0113844000
31.00   266.00   0.0225829000
31.00   269.00   0.0162843000
31.00   272.00   0.0248573000
31.00   275.00   0.0352192000
31.00   278.00   0.0275219000
31.00   281.00   0.0299548000
31.00   284.00   0.0302415000
34.00   47.00   0.0396915000
34.00   50.00   0.0432564000
34.00   53.00   0.0365058000
34.00   56.00   0.0330803000
34.00   59.00   0.0241461000
34.00   62.00   0.0128433000
34.00   65.00   0.0065635700
34.00   68.00   0.0045500700
34.00   71.00   -0.0054690500
34.00   74.00   -0.0082138900
34.00   77.00   -0.0174254000
34.00   80.00   -0.0251373000
34.00   83.00   -0.0183769000
34.00   86.00   -0.0104082000
34.00   89.00   -0.0008246400
34.00   92.00   0.0041588100
34.00   95.00   0.0070142700
34.00   98.00   -0.0062742500
34.00   101.00   -0.0161757000
34.00   104.00   -0.0182597000
34.00   107.00   -0.0172025000
34.00   110.00   -0.0095163400
34.00   113.00   -0.0062992700
34.00   116.00   -0.0025577200
34.00   119.00   -0.0082215000
34.00   122.00   -0.0099415100
34.00   125.00   -0.0121247000
34.00   128.00   -0.0068202400
34.00   131.00   -0.0115595000
34.00   134.00   -0.0168648000
34.00   137.00   -0.0223045000
34.00   140.00   -0.0149374000
34.00   143.00   -0.0105691000
34.00   146.00   -0.0028858200
34.00   149.00   0.0020452900
34.00   152.00   0.0085370400
34.00   155.00   0.0178198000
34.00   158.00   0.0187982000
34.00   161.00   0.0152114000
34.00   164.00   0.0107208000
34.00   167.00   0.0396915000
34.00   170.00   0.0432564000
34.00   173.00   0.0365059000
34.00   176.00   0.0330804000
34.00   179.00   0.0241461000
34.00   182.00   0.0128432000
34.00   185.00   0.0065636000
34.00   188.00   0.0045502100
34.00   191.00   -0.0054691400
